ID,County,lon,lat,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,鹿泉市,114.3205976,38.09174946,6.324077729,6.469937242,6.615796755,6.761656267,6.90751578,7.053375293,5.946300571,6.075002944,6.110244193,7.127886541
1,邯郸市,115.2485472,37.5345906,1.294348069,3.172120659,3.173665349,3.175210039,3.176754729,3.178299419,5.295149639,5.637149028,5.692695214,5.547339323
2,邯郸县,115.1496047,37.08045712,9.050172433,6.32059706,6.501243047,6.681889035,6.862535022,7.04318101,6.246135338,6.90004945,6.939751553,7.106986301
3,临漳县,114.5456282,36.63126273,6.764833238,6.934320603,7.103807968,7.273295334,7.442782699,7.612270064,6.762973722,7.169411827,7.26539075,7.355925079
4,成安县,114.5456282,36.63126273,5.067378501,5.119373376,5.17136825,1.190691684,5.275358,5.327352875,6.72889618,7.169434267,0.745644931,7.286876381
5,大名县,114.5921777,36.32938113,5.694975391,5.852003896,6.009032401,6.166060906,6.323089411,6.480117916,6.604955888,7.005052543,7.099648259,7.124958236
6,磁县,114.6765766,36.44979621,4.944206808,5.043345357,5.142483906,5.241622455,5.340761003,5.439899552,5.519960554,6.20999848,6.222146119,6.364511278
7,肥乡县,115.1546125,36.29128847,6.062295449,6.206611233,6.350927017,6.495242801,6.639558585,6.783874369,6.616601773,7.080058713,7.126817991,7.21658947
8,永年县,114.3804317,36.38035894,6.619846003,6.749097542,6.878349081,7.00760062,7.136852159,7.266103698,6.757978408,7.16303832,7.217706477,7.305071339
9,邱县,114.8065471,36.55382525,6.365272388,6.560781012,6.756289636,6.95179826,7.147306884,7.342815509,6.178844816,6.824952562,7.04972633,7.136569873
10,鸡泽县,114.5506251,36.74756939,2.818399084,3.816074339,2.682030321,1.584367278,2.771932487,2.877959542,6.500749086,6.98999221,7.155173433,7.256617344
11,广平县,115.1933952,36.81736242,5.764356951,5.909920266,6.05548358,6.201046895,6.346610209,6.492173524,6.436305732,6.974974722,6.98342821,7.096523388
12,馆陶县,114.8965858,36.91639821,6.183136495,6.33296919,6.482801886,6.632634581,6.782467276,6.932299971,6.733522019,7.067865824,7.126630964,7.249598208
13,魏县,114.9544149,36.48978,5.379148211,5.532994832,5.686841454,4.720624152,5.994534696,6.148381317,6.418083821,6.959994375,6.978296574,7.14450962
14,曲周县,115.2885368,36.55395673,5.723490792,5.865840027,6.008189262,6.150538497,6.292887732,6.435236966,6.728996013,7.100708104,7.156942446,7.186510791
15,邢台市,114.9454504,36.36615645,5.476254261,5.588169601,5.700084941,5.812000281,5.923915621,6.035830961,5.295246216,5.161783714,5.179692719,5.366307092
16,邢台县,114.9634044,36.77154483,5.301175186,5.410342309,5.519509432,5.628676554,5.737843677,5.8470108,5.118931839,5.051119307,5.070460469,5.315827118
17,临城县,114.5114623,37.07668595,4.144100644,4.228272561,4.312444479,4.396616396,4.480788313,4.56496023,4.780119899,4.78507263,5.355140187,5.516677881
18,内丘县,114.5114623,37.07668595,1.755858183,2.010606953,1.861651068,2.618699093,1.899753954,1.893846405,5.280782137,5.356584177,5.549884426,5.681588265
19,柏乡县,114.5054433,37.45078855,7.286954268,7.445233365,7.603512462,7.761791559,7.920070656,8.078349754,7.224657724,7.35300207,7.326308444,7.384636852
